event_id;event_name;city;state;region;venue;address;latitude;longitude;date;time;status;featured;display_order;theme;partner;image_url;event_url;cta_type;published;last_updated
fortaleza-2026-08-20;Conecta D2C Fortaleza;Fortaleza;CE;Nordeste;Esttaleiro Parrilla do Mar;;;;2026-08-20;16:30;confirmed;SIM;1;Negócios, conteúdo e conexões em um fim de tarde à beira-mar.;Nuvemshop + Salte Commerce;;/eventos/conecta-d2c/fortaleza;event_pre_registration;SIM;2026-08-09
porto-alegre-2026;Conecta D2C Porto Alegre;Porto Alegre;RS;Sul;;;;;;;coming_soon;NÃO;2;Recorrência, margem e fidelização no e-commerce;;;;regional_interest;SIM;2026-08-09
